"Customer.Months","Churn","CHI.Score.Mon0","CHI.Score","Support.Cases.Mon0","Support.Cases","SP.Mon0","SP","Logins","Blog.Articles","Views","Days.Since.Last.Login","Logins_log","Views_log","Blog.Articles_log","Views_per_Login","Blog_per_Login","Support_Score_Interaction","Login_View_Interaction","Activity_Score"
67,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
67,0,62,4,0,0,0,0,0,0,-16,31,0,NA,0,0,0,0,0,-0.238805970149254
55,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
63,0,231,1,1,-1,3,0,167,-8,21996,0,5.12396397940326,9.99866135940572,NA,131.712574850299,-0.0479041916167665,-1,3673332,351.666666666667
57,0,43,-1,0,0,0,0,0,0,9,31,0,2.30258509299405,0,0,0,0,0,0.157894736842105
58,0,138,-10,0,0,0,0,43,0,-33,0,3.78418963391826,NA,0,-0.767441860465116,0,0,-1419,0.172413793103448
57,0,180,-5,1,1,3,3,13,-1,907,0,2.63905732961526,6.81124437860129,-Inf,69.7692307692308,-0.0769230769230769,-5,11791,16.1228070175439
46,0,116,-11,0,0,0,0,0,0,38,6,0,3.66356164612965,0,0,0,0,0,0.826086956521739
56,0,78,-7,1,-2,3,0,-9,1,0,7,NA,0,0.693147180559945,0,0,14,0,-0.142857142857143
56,0,78,-37,0,0,0,0,-7,0,30,14,NA,3.43398720448515,0,0,0,0,-210,0.410714285714286
53,0,91,-1,0,0,0,0,14,3,0,0,2.70805020110221,0,1.38629436111989,0,0.214285714285714,0,0,0.320754716981132
56,0,40,14,0,0,0,0,0,0,15,31,0,2.77258872223978,0,0,0,0,0,0.267857142857143
57,0,215,15,0,0,0,0,71,9,8658,0,4.27666611901606,9.0663545214478,2.30258509299405,121.943661971831,0.126760563380282,0,614718,153.298245614035
57,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
55,0,118,63,0,0,0,0,5,1,995,0,1.79175946922805,6.9037472575846,0.693147180559945,199,0.2,0,4975,18.2
56,0,59,16,0,0,0,0,0,0,4,31,0,1.6094379124341,0,0,0,0,0,0.0714285714285714
52,0,67,25,0,0,0,0,4,0,77,31,1.6094379124341,4.35670882668959,0,19.25,0,0,308,1.55769230769231
55,0,0,0,0,0,0,0,0,0,-2,31,0,NA,0,0,0,0,0,-0.0363636363636364
54,0,89,-12,1,1,3,3,-41,-8,-29,0,NA,NA,NA,0,0,-12,1189,-1.44444444444444
54,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
54,0,142,1,0,0,0,0,26,1,-4,13,3.29583686600433,NA,0.693147180559945,-0.153846153846154,0.0384615384615385,0,-104,0.425925925925926
53,0,86,10,0,0,0,0,2,0,-53,-31,1.09861228866811,NA,0,-26.5,0,0,-106,-0.962264150943396
53,0,103,-12,0,0,0,0,-6,-1,40,-1,NA,3.71357206670431,-Inf,0,0,0,-240,0.622641509433962
46,0,75,0,0,0,0,0,0,0,10,30,0,2.39789527279837,0,0,0,0,0,0.217391304347826
53,0,182,8,8,6,3,-0.5,38,1,671,0,3.66356164612965,6.51025834052315,0.693147180559945,17.6578947368421,0.0263157894736842,48,25498,13.3962264150943
53,0,230,0,0,0,0,0,84,3,13043,0,4.44265125649032,9.47608353690921,1.38629436111989,155.27380952381,0.0357142857142857,0,1095612,247.735849056604
52,0,179,-22,2,1,3,0,10,-2,5,-1,2.39789527279837,1.79175946922805,NA,0.5,-0.2,-22,50,0.25
53,0,48,-10,0,0,0,0,-15,0,12,-18,NA,2.56494935746154,0,0,0,0,-180,-0.0566037735849057
52,0,99,-6,0,0,0,0,-8,0,-23,-31,NA,NA,0,0,0,0,184,-0.596153846153846
32,0,67,28,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
52,0,160,10,3,3,3,3,12,0,481,4,2.56494935746154,6.1779441140506,0,40.0833333333333,0,30,5772,9.48076923076923
52,0,91,50,4,1,3,0,26,0,0,-11,3.29583686600433,0,0,0,0,50,0,0.5
52,0,93,-29,0,0,0,0,-7,1,4682,0,NA,8.45169420918354,0.693147180559945,0,0,0,-32774,89.9230769230769
51,0,143,-32,4,1,2.5,0.166666667,61,-1,67,0,4.12713438504509,4.21950770517611,-Inf,1.09836065573771,-0.0163934426229508,-32,4087,2.49019607843137
52,0,168,-5,8,-3,3,0,62,2,589,-31,4.14313472639153,6.38012253689976,1.09861228866811,9.5,0.032258064516129,15,36518,12.5576923076923
52,0,186,-4,2,1,2.5,-0.5,86,-3,2139,4,4.46590811865458,7.6685611080159,NA,24.8720930232558,-0.0348837209302326,-4,183954,42.7307692307692
52,0,75,0,0,0,0,0,8,0,0,0,2.19722457733622,0,0,0,0,0,0,0.153846153846154
51,0,25,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
49,0,124,34,0,0,0,0,10,0,-188,31,2.39789527279837,NA,0,-18.8,0,0,-1880,-3.63265306122449
43,0,147,-7,1,1,3,3,-25,-2,138,-1,NA,4.93447393313069,NA,0,0,-7,-3450,2.58139534883721
51,0,77,-1,0,0,0,0,-1,0,-81,-6,-Inf,NA,0,0,0,0,81,-1.6078431372549
48,0,57,-2,0,0,0,0,0,0,2379,31,0,7.77485576666552,0,0,0,0,0,49.5625
50,0,115,0,0,0,0,0,0,0,-300,31,0,NA,0,0,0,0,0,-6
44,0,51,-1,1,-1,3,0,-12,0,0,-133,NA,0,0,0,0,1,0,-0.272727272727273
49,0,85,0,0,0,0,0,1,0,0,-12,0.693147180559945,0,0,0,0,0,0,0.0204081632653061
49,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
45,0,87,-3,1,1,3,3,9,0,0,-143,2.30258509299405,0,0,0,0,-3,0,0.2
49,0,210,2,2,-3,2.5,-0.5,181,-3,724,0,5.2040066870768,6.58617165485467,NA,4,-0.0165745856353591,-6,131044,18.4081632653061
47,1,122,2,3,-6,3,0,-31,0,122,0,NA,4.81218435537242,0,0,0,-12,-3782,1.93617021276596
48,0,3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
49,0,179,14,1,1,3,3,54,-1,-124,-1,4.00733318523247,NA,-Inf,-2.2962962962963,-0.0185185185185185,14,-6696,-1.44897959183673
49,0,0,-21,0,0,0,0,-8,0,0,4,NA,0,0,0,0,0,0,-0.163265306122449
35,0,152,0,0,0,0,0,-13,0,82,0,NA,4.4188406077966,0,0,0,0,-1066,1.97142857142857
46,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
47,1,0,-26,0,0,0,0,-7,0,0,-53,NA,0,0,0,0,0,0,-0.148936170212766
47,0,7,7,0,0,0,0,4,0,0,31,1.6094379124341,0,0,0,0,0,0,0.0851063829787234
48,0,14,14,0,0,0,0,4,0,-5,31,1.6094379124341,NA,0,-1.25,0,0,-20,-0.0208333333333333
47,0,53,-27,0,0,0,0,-4,0,41,4,NA,3.73766961828337,0,0,0,0,-164,0.787234042553192
48,0,39,-52,0,0,0,0,-1,0,33,-5,-Inf,3.52636052461616,0,0,0,0,-33,0.666666666666667
48,0,103,4,0,-3,0,-3,14,0,-9,0,2.70805020110221,NA,0,-0.642857142857143,0,-12,-126,0.104166666666667
